,0
584,2
585,6
586,7
587,1
588,6
589,4
590,5
591,6
592,3
593,6
594,3
595,4
596,2
597,7
598,7
599,1
600,1
601,3
602,2
603,3
604,1
605,3
606,4
607,2
608,1
609,1
610,7
611,3
612,2
613,5
614,7
615,4
616,5
617,5
618,2
619,3
620,2
621,1
622,6
623,5
624,7
625,6
626,7
627,3
628,1
629,2
630,6
631,7
632,6
633,7
634,3
635,3
636,3
637,4
638,5
639,2
640,6
641,5
642,2
643,7
644,6
645,7
646,4
647,2
648,1
649,2
650,1
651,2
652,5
653,7
654,2
655,7
656,7
657,3
658,1
659,4
660,2
661,7
662,4
663,2
664,1
665,1
666,5
667,4
668,7
669,1
670,4
671,5
672,5
673,2
674,1
675,7
676,5
677,2
678,1
679,6
680,7
681,7
682,4
683,4
684,4
685,6
686,3
687,4
688,7
689,2
690,6
691,6
692,6
693,3
694,5
695,5
696,2
697,4
698,6
699,2
700,1
701,7
702,7
703,1
704,6
705,2
706,4
707,7
708,2
709,3
710,5
711,7
712,1
713,2
714,3
715,3
716,4
717,4
718,2
719,7
720,7
721,5
722,5
723,4
724,7
725,3
726,2
727,6
728,4
729,1
730,2
731,6
732,5
733,2
734,4
735,5
736,7
737,4
738,2
739,6
740,6
741,5
742,3
743,5
744,5
745,6
746,6
747,3
748,5
749,1
750,6
751,1
752,6
753,1
754,3
755,5
756,3
757,1
758,6
759,3
760,3
761,1
762,2
763,4
764,1
765,4
766,6
767,6
768,5
769,7
770,4
771,4
772,3
773,2
774,6
775,7
776,5
777,6
778,1
779,1
780,6
781,1
782,4
783,4
784,4
785,4
786,7
787,1
788,6
789,1
790,5
791,5
792,7
793,2
794,7
795,4
796,5
797,7
798,6
799,5
800,3
801,4
802,1
803,3
804,4
805,2
806,1
807,3
808,7
809,1
810,1
811,3
812,4
813,2
814,5
815,7
816,2
817,7
818,2
819,5
820,7
821,1
822,7
823,7
824,4
825,4
826,1
827,4
828,3
829,3
830,4
831,6
832,7
833,7
834,2
835,7
836,2
837,1
838,6
839,3
840,4
841,3
842,5
843,3
844,4
845,2
846,6
847,6
848,2
849,2
850,2
851,5
852,4
853,5
854,1
855,4
856,2
857,3
858,1
859,5
860,4
861,7
862,3
863,2
864,3
865,3
866,4
867,6
868,6
869,2
870,3
871,7
872,7
873,4
874,1
875,1
876,1
877,6
878,3
879,7
880,1
881,6
882,7
883,7
884,6
885,1
886,5
887,2
888,4
889,2
890,1
891,6
892,4
893,3
894,4
895,4
896,3
897,1
898,5
899,6
900,4
901,3
902,3
903,5
904,7
905,2
906,4
907,3
908,2
909,1
910,6
911,2
912,6
913,5
914,6
915,3
916,6
917,7
918,4
919,6
920,2
921,5
922,7
923,2
924,1
925,4
926,3
927,1
928,1
929,1
930,3
931,6
932,4
933,7
934,5
935,6
936,3
937,3
938,3
939,3
940,2
941,1
942,7
943,1
944,7
945,5
946,5
947,5
948,3
949,5
950,7
951,6
952,5
953,3
954,1
955,6
956,2
957,6
958,6
959,4
960,1
961,6
962,7
963,3
964,4
965,1
966,2
967,1
968,2
969,3
970,6
971,3
972,6
973,5
974,6
975,3
976,2
977,1
978,4
979,7
980,2
981,1
982,7
983,2
984,3
985,6
986,6
987,5
988,3
989,3
990,1
991,2
992,6
993,2
994,1
995,1
996,2
997,3
998,6
999,5
1000,3
1001,2
1002,7
1003,2
1004,1
1005,3
1006,1
1007,6
1008,3
1009,4
1010,2
1011,7
1012,4
1013,5
1014,3
1015,6
1016,6
1017,5
1018,5
1019,5
1020,7
1021,3
1022,4
1023,6
1024,4
1025,5
1026,5
1027,3
1028,2
1029,3
1030,2
1031,3
1032,7
1033,5
1034,4
1035,1
1036,5
1037,3
1038,2
1039,6
1040,7
1041,1
1042,4
1043,1
1044,6
1045,2
1046,3
1047,4
1048,3
1049,7
1050,1
1051,5
1052,7
1053,3
1054,7
1055,7
1056,7
1057,6
1058,7
1059,4
1060,5
1061,7
1062,7
1063,4
1064,1
1065,4
1066,5
1067,6
1068,6
1069,3
1070,2
1071,5
1072,5
1073,5
1074,7
1075,5
1076,3
1077,3
1078,4
1079,7
1080,2
1081,7
1082,7
1083,5
1084,6
1085,5
1086,3
1087,4
1088,5
1089,5
1090,6
1091,5
1092,6
1093,4
1094,6
1095,2
1096,1
1097,5
1098,2
1099,5
1100,1
1101,1
1102,2
1103,6
1104,3
1105,1
1106,1
1107,3
1108,2
1109,7
1110,7
1111,7
1112,6
1113,3
1114,7
1115,1
1116,2
1117,3
1118,7
1119,1
1120,1
1121,3
1122,6
1123,1
1124,6
1125,2
1126,7
1127,3
1128,3
1129,6
1130,7
1131,5
1132,5
1133,3
1134,6
1135,7
1136,6
1137,2
1138,7
1139,2
1140,4
1141,3
1142,2
1143,5
1144,2
1145,4
1146,7
1147,3
1148,1
1149,1
1150,7
1151,5
1152,2
1153,7
1154,4
1155,7
1156,7
1157,6
1158,6
1159,4
1160,4
1161,5
1162,6
1163,4
1164,4
1165,1
1166,5
1167,6
1168,3
1169,2
1170,3
1171,7
1172,5
1173,1
1174,7
1175,4
1176,7
1177,2
1178,5
1179,1
1180,6
1181,4
1182,4
1183,6
1184,5
1185,4
1186,3
1187,3
1188,4
1189,1
1190,4
1191,6
1192,1
1193,5
1194,6
1195,6
1196,5
1197,1
1198,2
1199,5
1200,7
1201,7
1202,3
1203,1
1204,1
1205,3
1206,2
1207,3
1208,6
1209,7
1210,1
1211,7
1212,3
1213,7
1214,1
1215,5
1216,7
1217,7
1218,2
1219,4
1220,4
1221,2
1222,2
1223,2
1224,1
1225,1
1226,4
1227,1
1228,7
1229,3
1230,3
1231,5
1232,7
1233,4
1234,1
1235,4
1236,5
1237,5
1238,3
1239,3
1240,4
1241,5
1242,7
1243,2
1244,5
1245,5
1246,1
1247,5
1248,4
1249,2
1250,5
1251,7
1252,1
1253,1
1254,4
1255,2
1256,2
1257,4
1258,2
1259,1
1260,4
1261,4
1262,1
1263,6
1264,4
1265,6
1266,1
1267,3
1268,6
1269,1
1270,1
1271,1
1272,6
1273,4
1274,5
1275,3
1276,6
1277,4
1278,4
1279,3
1280,4
1281,6
1282,4
1283,5
1284,5
1285,7
1286,4
1287,6
1288,7
1289,7
1290,4
1291,4
1292,1
1293,6
1294,1
1295,4
1296,5
1297,5
1298,5
1299,3
1300,3
1301,2
1302,5
1303,5
1304,5
1305,4
1306,6
1307,5
1308,5
1309,4
1310,2
1311,2
1312,2
1313,5
1314,6
1315,3
1316,1
1317,4
1318,6
1319,4
1320,4
1321,7
1322,2
1323,7
1324,7
1325,1
1326,2
1327,7
1328,4
1329,6
1330,7
1331,3
1332,5
1333,7
1334,6
1335,5
1336,3
1337,1
1338,6
1339,5
1340,6
1341,1
1342,3
1343,3
1344,3
1345,4
1346,6
1347,1
1348,3
1349,5
1350,6
1351,4
1352,7
1353,2
1354,2
1355,4
1356,1
1357,5
1358,3
1359,1
1360,3
1361,4
1362,1
1363,3
1364,6
1365,1
1366,4
1367,6
1368,6
1369,4
1370,1
1371,4
1372,2
1373,1
1374,3
1375,1
1376,5
1377,2
1378,5
1379,4
1380,1
1381,1
1382,1
1383,7
1384,3
1385,1
1386,7
1387,2
1388,3
1389,4
1390,6
1391,4
1392,5
1393,7
1394,4
1395,7
1396,6
1397,2
1398,2
1399,6
1400,5
1401,5
1402,2
1403,2
1404,6
1405,3
1406,4
1407,4
1408,4
1409,4
1410,5
1411,1
1412,4
1413,3
1414,4
1415,6
1416,5
1417,2
1418,3
1419,6
1420,4
1421,5
1422,3
1423,2
1424,1
1425,4
1426,2
1427,5
1428,1
1429,6
1430,2
1431,4
1432,4
1433,4
1434,2
1435,6
1436,4
1437,4
1438,1
1439,1
1440,3
1441,1
1442,1
1443,3
1444,6
1445,4
1446,5
1447,5
1448,4
1449,2
1450,3
1451,2
1452,3
1453,4
1454,5
1455,6
1456,1
1457,2
1458,6
1459,4
1460,4
1461,5
1462,2
1463,2
1464,4
1465,5
1466,3
1467,7
1468,4
1469,3
1470,2
1471,4
1472,6
1473,7
1474,2
1475,6
1476,2
1477,5
1478,3
1479,2
1480,2
1481,4
1482,1
1483,3
1484,7
1485,6
1486,1
1487,6
1488,1
1489,1
1490,6
1491,5
1492,1
1493,5
1494,5
1495,1
1496,2
1497,1
1498,3
1499,2
1500,7
1501,4
1502,1
1503,5
1504,1
1505,1
1506,5
1507,7
1508,4
1509,7
1510,5
1511,6
1512,4
1513,6
1514,5
1515,4
1516,7
1517,1
1518,5
1519,5
1520,4
1521,3
1522,5
1523,6
1524,7
1525,7
1526,1
1527,2
1528,6
1529,1
1530,5
1531,3
1532,6
1533,2
1534,7
1535,5
1536,2
1537,6
1538,2
1539,1
1540,7
1541,6
1542,2
1543,4
1544,3
1545,2
1546,6
1547,3
1548,7
1549,2
1550,2
1551,7
1552,6
1553,3
1554,2
1555,4
1556,6
1557,6
1558,4
1559,6
1560,5
1561,5
1562,6
1563,6
1564,2
1565,6
1566,2
1567,6
1568,5
1569,7
1570,7
1571,1
1572,6
1573,4
1574,4
1575,1
1576,5
1577,4
1578,2
1579,4
1580,3
1581,1
1582,4
1583,6
1584,2
1585,5
1586,1
1587,1
1588,1
1589,3
1590,6
1591,5
1592,6
1593,6
1594,4
1595,1
1596,1
1597,7
1598,5
1599,4
1600,4
1601,6
1602,5
1603,2
1604,4
1605,4
1606,1
1607,5
1608,4
1609,2
1610,3
1611,7
1612,6
1613,6
1614,6
1615,1
1616,4
1617,7
1618,6
1619,1
1620,2
1621,3
1622,6
1623,4
1624,2
1625,7
1626,1
1627,6
1628,1
1629,6
1630,5
1631,6
1632,1
1633,2
1634,5
1635,6
1636,6
1637,2
1638,2
1639,5
1640,4
1641,1
1642,6
1643,1
1644,6
1645,3
1646,5
1647,1
1648,6
1649,4
1650,3
1651,2
1652,7
1653,1
1654,5
1655,7
1656,6
1657,1
1658,4
1659,2
1660,3
1661,5
1662,3
1663,1
1664,1
1665,3
1666,6
1667,5
1668,7
1669,4
1670,4
1671,6
1672,5
1673,4
1674,2
1675,1
1676,5
1677,2
1678,7
1679,7
1680,3
1681,1
1682,5
1683,3
1684,5
1685,6
1686,2
1687,4
1688,6
1689,3
1690,5
1691,5
1692,7
1693,1
1694,2
1695,7
1696,7
1697,1
1698,3
1699,6
1700,6
1701,5
1702,5
1703,3
1704,3
1705,1
1706,3
1707,7
1708,1
1709,1
1710,5
1711,2
1712,2
1713,1
1714,6
1715,6
1716,1
1717,5
1718,4
1719,2
1720,2
1721,6
1722,4
1723,5
1724,4
1725,6
1726,3
1727,7
1728,6
1729,6
1730,3
1731,4
1732,1
1733,1
1734,5
1735,2
1736,1
1737,7
1738,4
1739,3
1740,2
1741,4
1742,5
1743,3
1744,7
1745,2
1746,7
1747,1
1748,5
1749,1
1750,7
1751,7
1752,3
1753,7
1754,5
1755,2
1756,1
1757,6
1758,6
1759,5
1760,5
1761,4
1762,6
1763,7
1764,1
1765,3
1766,4
1767,5
1768,6
1769,3
1770,2
1771,5
1772,5
1773,5
1774,4
1775,5
1776,1
1777,2
1778,4
1779,7
1780,7
1781,1
1782,3
1783,3
1784,3
1785,5
1786,2
1787,2
1788,1
1789,1
1790,4
1791,2
1792,5
1793,5
1794,4
1795,1
1796,1
1797,6
1798,4
1799,3
1800,7
1801,3
1802,3
1803,3
1804,5
1805,1
1806,1
1807,7
1808,5
1809,6
1810,7
1811,2
1812,6
1813,7
1814,2
1815,3
1816,6
1817,7
1818,3
1819,4
1820,3
1821,4
1822,5
1823,3
1824,6
1825,7
1826,1
1827,6
1828,7
1829,6
1830,1
1831,6
1832,4
1833,4
1834,7
1835,2
1836,7
1837,6
1838,2
1839,7
1840,7
1841,3
1842,1
1843,7
1844,4
1845,3
1846,4
1847,7
1848,6
1849,1
1850,6
1851,1
1852,7
1853,4
1854,5
1855,5
1856,5
1857,5
1858,3
1859,6
1860,2
1861,3
1862,6
1863,1
1864,7
1865,1
1866,4
1867,6
1868,1
1869,1
1870,5
1871,1
1872,3
1873,3
1874,5
1875,7
1876,3
1877,2
1878,1
1879,6
1880,2
1881,7
1882,5
1883,5
1884,5
1885,2
1886,5
1887,2
1888,1
1889,2
1890,4
1891,6
1892,3
1893,6
1894,1
1895,7
1896,1
1897,2
1898,6
1899,3
1900,2
1901,7
1902,1
1903,3
1904,6
1905,5
1906,4
1907,5
1908,6
1909,2
1910,2
1911,4
1912,6
1913,3
1914,1
1915,1
1916,5
1917,4
1918,1
1919,5
1920,5
1921,7
1922,3
1923,6
1924,6
1925,4
1926,1
1927,4
1928,6
1929,1
1930,4
1931,1
1932,2
1933,1
1934,5
1935,2
1936,6
1937,3
1938,5
1939,4
1940,3
1941,1
1942,2
1943,6
1944,5
1945,2
1946,7
1947,5
1948,6
1949,1
1950,3
1951,2
1952,1
1953,7
1954,2
1955,3
1956,7
1957,6
1958,4
1959,3
1960,6
1961,2
1962,2
1963,1
1964,3
1965,3
1966,3
1967,1
1968,3
1969,6
1970,4
1971,7
1972,3
1973,4
1974,2
1975,2
1976,1
1977,1
1978,6
1979,5
1980,2
1981,4
1982,1
1983,7
1984,3
1985,3
1986,4
1987,1
1988,1
1989,5
1990,7
1991,7
1992,3
1993,1
1994,6
1995,7
1996,4
1997,3
1998,4
1999,2
2000,3
2001,6
2002,7
2003,3
2004,4
2005,4
2006,2
2007,2
2008,5
2009,5
2010,1
2011,6
2012,4
2013,4
2014,6
2015,3
2016,1
2017,7
2018,5
2019,3
2020,1
2021,3
2022,1
2023,1
2024,3
2025,1
2026,2
2027,1
2028,6
2029,4
2030,3
2031,5
2032,5
2033,4
2034,7
2035,6
2036,3
2037,6
2038,3
2039,7
2040,5
2041,4
2042,6
2043,7
2044,2
2045,1
2046,1
2047,6
2048,7
2049,7
2050,3
2051,2
2052,1
2053,2
2054,3
2055,3
2056,7
2057,7
2058,2
2059,5
2060,6
2061,1
2062,4
2063,6
2064,4
2065,7
2066,6
2067,4
2068,3
2069,2
2070,5
2071,6
2072,7
2073,3
2074,7
2075,5
2076,2
2077,5
2078,4
2079,6
2080,6
2081,6
2082,6
2083,6
2084,1
2085,2
2086,1
2087,6
2088,5
2089,2
2090,1
2091,5
2092,6
2093,1
2094,1
2095,3
2096,6
2097,3
2098,7
2099,1
2100,5
2101,1
2102,3
2103,1
2104,3
2105,6
2106,7
2107,2
2108,4
2109,6
2110,7
2111,5
2112,2
2113,4
2114,1
2115,7
2116,2
2117,1
2118,6
2119,5
2120,6
2121,2
2122,5
2123,2
2124,2
2125,7
2126,1
2127,6
2128,4
2129,2
2130,1
2131,5
2132,4
2133,3
2134,3
2135,3
2136,3
2137,5
2138,4
2139,4
2140,1
2141,3
2142,7
2143,3
2144,4
2145,3
2146,4
2147,6
2148,3
2149,4
2150,2
2151,6
2152,2
2153,1
2154,2
2155,7
2156,6
2157,5
2158,7
2159,7
2160,6
2161,7
2162,2
2163,3
2164,3
2165,3
2166,5
2167,6
2168,1
2169,3
2170,3
2171,1
2172,2
2173,2
2174,6
2175,5
2176,1
2177,2
2178,1
2179,1
2180,1
2181,1
2182,5
2183,4
2184,2
2185,4
2186,7
2187,3
2188,5
2189,2
2190,7
2191,6
2192,2
2193,5
2194,4
2195,2
2196,3
2197,4
2198,2
2199,1
2200,2
2201,4
2202,3
2203,4
2204,7
2205,2
2206,5
2207,1
2208,3
2209,2
2210,2
2211,7
2212,7
2213,3
2214,2
2215,2
2216,5
2217,4
2218,2
2219,6
2220,2
2221,4
2222,7
2223,6
2224,6
2225,3
2226,6
2227,5
2228,2
2229,7
2230,1
2231,4
2232,7
2233,5
2234,2
2235,2
2236,5
2237,5
2238,1
2239,7
2240,2
2241,5
2242,4
2243,5
2244,4
2245,5
2246,3
2247,3
2248,7
2249,6
2250,6
2251,6
2252,5
2253,6
2254,4
2255,1
2256,2
2257,1
2258,5
2259,2
2260,2
2261,3
2262,7
2263,4
2264,6
2265,7
2266,2
2267,6
2268,7
2269,3
2270,1
2271,6
2272,2
2273,3
2274,4
2275,2
2276,7
2277,4
2278,5
2279,4
2280,5
2281,2
2282,5
2283,5
2284,7
2285,1
2286,4
2287,1
2288,2
2289,2
2290,2
2291,1
2292,1
2293,2
2294,4
2295,4
2296,7
2297,6
2298,6
2299,1
2300,2
2301,6
2302,5
2303,5
2304,6
2305,7
2306,6
2307,1
2308,5
2309,7
2310,3
2311,7
2312,7
2313,5
2314,4
2315,5
2316,2
2317,1
2318,1
2319,2
2320,6
2321,2
2322,4
2323,5
2324,7
2325,4
2326,1
2327,5
2328,3
2329,6
2330,1
2331,3
2332,4
2333,4
2334,1
2335,5
2336,1
2337,3
2338,4
2339,6
2340,1
2341,1
2342,3
2343,3
2344,6
2345,2
2346,6
2347,4
2348,4
2349,4
2350,1
2351,3
2352,1
2353,1
2354,1
2355,7
2356,7
2357,5
2358,6
2359,7
2360,6
2361,2
2362,4
2363,1
2364,3
2365,2
2366,2
2367,1
2368,2
2369,7
2370,4
2371,7
2372,3
2373,3
2374,1
2375,4
2376,5
2377,4
2378,2
2379,4
2380,7
2381,1
2382,7
2383,7
2384,2
2385,3
2386,2
2387,4
2388,5
2389,2
2390,2
2391,5
2392,7
2393,2
2394,5
2395,2
2396,4
2397,3
2398,7
2399,7
2400,5
2401,2
2402,1
2403,7
2404,4
2405,5
2406,7
2407,6
2408,6
2409,2
2410,2
2411,6
2412,3
2413,6
2414,4
2415,6
2416,3
2417,2
2418,7
2419,4
2420,7
2421,4
2422,1
2423,3
2424,2
2425,1
2426,5
2427,6
2428,3
2429,1
2430,7
2431,3
2432,7
2433,3
2434,3
2435,7
2436,1
2437,4
2438,6
2439,6
2440,1
2441,4
2442,4
2443,1
2444,5
2445,5
2446,5
2447,3
2448,3
2449,1
2450,3
2451,2
2452,5
2453,2
2454,7
2455,5
2456,4
2457,4
2458,3
2459,1
2460,5
2461,1
2462,6
2463,7
2464,7
2465,2
2466,5
2467,7
2468,6
2469,3
2470,5
2471,6
2472,7
2473,5
2474,6
2475,3
2476,3
2477,7
2478,2
2479,7
2480,5
2481,4
2482,7
2483,6
2484,7
2485,1
2486,3
2487,5
2488,7
2489,4
2490,1
2491,3
2492,2
2493,2
2494,4
2495,4
2496,5
2497,7
2498,6
2499,4
2500,1
2501,2
2502,7
2503,3
2504,2
2505,6
2506,2
2507,2
2508,4
2509,2
2510,1
2511,3
2512,4
2513,6
2514,4
2515,7
2516,2
2517,4
2518,6
2519,7
2520,6
2521,4
2522,7
2523,5
2524,2
2525,7
2526,3
2527,7
2528,4
2529,5
2530,7
2531,7
2532,1
2533,6
2534,1
2535,3
2536,5
2537,6
2538,1
2539,2
2540,3
2541,7
2542,6
2543,5
2544,2
2545,1
2546,1
2547,1
2548,5
2549,1
2550,4
2551,5
2552,7
2553,5
2554,5
2555,1
2556,2
2557,1
2558,6
2559,7
2560,3
2561,6
2562,7
2563,4
2564,4
2565,4
2566,2
2567,4
2568,5
2569,2
2570,6
2571,1
2572,6
2573,7
2574,3
2575,2
2576,3
2577,6
2578,3
2579,6
2580,2
2581,2
2582,7
2583,2
2584,4
2585,2
2586,4
2587,3
2588,7
2589,3
2590,3
2591,1
2592,5
2593,5
2594,7
2595,6
2596,7
2597,5
2598,4
2599,6
2600,2
2601,2
2602,3
2603,2
2604,5
2605,7
2606,6
2607,4
2608,3
2609,7
2610,7
2611,7
2612,3
2613,2
2614,5
2615,2
2616,3
2617,7
2618,1
2619,3
2620,3
2621,1
2622,2
2623,6
2624,4
2625,2
2626,7
2627,6
2628,4
2629,5
2630,2
2631,4
2632,6
2633,3
2634,3
2635,6
2636,7
2637,2
2638,3
2639,1
2640,1
2641,3
2642,2
2643,3
2644,3
2645,5
2646,4
2647,6
2648,1
2649,2
2650,6
2651,2
2652,6
2653,5
2654,6
2655,6
2656,7
2657,6
2658,2
2659,7
2660,6
2661,1
2662,4
2663,6
2664,4
2665,3
2666,3
2667,7
2668,1
2669,5
2670,6
2671,5
2672,1
2673,2
2674,1
2675,7
2676,1
2677,3
2678,4
2679,2
2680,2
2681,4
2682,2
2683,6
2684,5
2685,1
2686,2
2687,1
2688,1
2689,5
2690,6
2691,1
2692,7
2693,3
2694,4
2695,2
2696,3
2697,5
2698,7
2699,1
2700,3
2701,5
2702,5
2703,3
2704,2
2705,1
2706,3
2707,7
2708,1
2709,7
2710,3
2711,6
2712,7
2713,5
2714,3
2715,7
2716,1
2717,6
2718,7
2719,2
2720,5
2721,1
2722,7
2723,3
2724,2
2725,7
2726,1
2727,6
2728,5
2729,7
2730,1
2731,1
2732,3
2733,2
2734,1
2735,5
2736,6
2737,7
2738,2
2739,7
2740,1
2741,3
2742,6
2743,7
2744,3
2745,2
2746,6
2747,2
2748,5
2749,7
2750,6
2751,2
2752,4
2753,3
2754,2
2755,7
2756,4
2757,3
2758,6
2759,1
2760,3
2761,7
2762,6
2763,5
2764,4
2765,6
2766,4
2767,2
2768,2
2769,3
2770,5
2771,5
2772,3
2773,3
2774,6
2775,3
2776,5
2777,4
2778,5
2779,4
2780,4
2781,1
2782,2
2783,3
2784,4
2785,6
2786,1
2787,5
2788,2
2789,2
2790,6
2791,1
2792,7
2793,6
2794,4
2795,7
2796,7
2797,1
2798,5
2799,6
2800,1
2801,5
2802,4
2803,5
2804,2
2805,7
2806,3
2807,7
2808,5
2809,2
2810,7
2811,7
2812,7
2813,4
2814,1
2815,5
2816,1
2817,4
2818,3
2819,3
2820,4
2821,2
2822,5
2823,1
2824,1
2825,1
2826,1
2827,5
2828,5
2829,2
2830,1
2831,5
2832,5
2833,4
2834,3
2835,5
2836,2
2837,5
2838,1
2839,3
2840,1
2841,5
2842,1
2843,6
2844,5
2845,3
2846,4
2847,6
2848,6
2849,4
2850,7
2851,4
2852,1
2853,4
2854,7
2855,4
2856,6
2857,2
2858,2
2859,6
2860,6
2861,6
2862,5
2863,3
2864,2
2865,6
2866,4
2867,7
2868,2
2869,6
2870,6
2871,7
2872,4
2873,3
2874,2
2875,4
2876,5
2877,1
2878,1
2879,5
2880,4
2881,7
2882,7
2883,6
2884,1
2885,3
2886,3
2887,1
2888,3
2889,2
2890,5
2891,2
2892,5
2893,5
2894,6
2895,2
2896,3
2897,6
2898,2
2899,6
2900,6
2901,4
2902,6
2903,4
2904,5
2905,2
2906,2
2907,5
2908,1
2909,6
2910,4
2911,2
2912,4
2913,3
2914,6
2915,2
2916,4
2917,7
2918,3
2919,2
2920,4
2921,7
2922,6
2923,3
2924,4
2925,6
2926,7
2927,4
2928,5
2929,5
2930,5
2931,1
2932,2
2933,4
2934,5
2935,2
2936,2
2937,4
2938,4
2939,5
2940,7
2941,5
2942,5
2943,6
2944,4
2945,1
2946,1
2947,3
2948,4
2949,3
2950,3
2951,2
2952,7
2953,1
2954,1
2955,2
2956,7
2957,4
2958,6
2959,7
2960,3
2961,1
2962,1
2963,6
2964,5
2965,2
2966,1
2967,6
2968,3
2969,1
2970,4
2971,2
2972,4
2973,6
2974,6
2975,6
2976,4
2977,2
2978,4
2979,3
2980,7
2981,4
2982,5
2983,5
2984,2
2985,5
2986,2
2987,1
2988,1
2989,4
2990,5
2991,7
2992,3
2993,1
2994,2
2995,7
2996,3
2997,4
